Ticket_ID,Subject,Description,Category,Priority,Timestamp
250,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Medium,2025-08-12 02:24:00
251,Slow performance,The app is running very slowly.,Technical Issue,Low,2025-06-22 03:59:00
252,Account locked,Account locked after multiple attempts.,Account Management,High,2025-04-18 09:34:00
253,Export to CSV,Need option to export reports as CSV.,Feature Request,Medium,2025-01-25 08:52:00
254,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-08-31 00:01:00
255,Unable to reset password,Reset link not working.,Account Management,Medium,2025-04-03 05:31:00
256,2FA issue,Two-factor authentication code not accepted.,Account Management,Low,2025-05-18 17:40:00
257,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Low,2025-06-14 07:10:00
258,App freezes,The app freezes after last update.,Bug Report,Low,2025-05-01 14:50:00
259,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-02-02 03:30:00
260,App freezes,The app freezes after last update.,Bug Report,High,2025-02-12 12:33:00
261,Slow performance,The app is running very slowly.,Technical Issue,High,2025-04-09 23:35:00
262,Slow performance,The app is running very slowly.,Technical Issue,High,2025-08-18 05:05:00
263,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-03-26 12:18:00
264,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-03-06 14:34:00
265,Multi-language support,Please support Spanish and French.,Feature Request,High,2025-09-08 00:19:00
266,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Low,2025-03-08 17:44:00
267,App freezes,The app freezes after last update.,Bug Report,Medium,2025-06-14 14:21:00
268,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Medium,2025-09-27 22:37:00
269,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Low,2025-07-23 11:56:00
270,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Medium,2025-06-12 13:22:00
271,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,High,2025-08-17 05:03:00
272,Email not sending,Support emails are not being sent.,Technical Issue,High,2025-04-16 23:16:00
273,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-06-15 11:22:00
274,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Low,2025-07-25 01:30:00
275,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-02-05 02:36:00
276,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-07-30 05:28:00
277,Crash on checkout,App crashes during checkout process.,Bug Report,Low,2025-07-17 12:35:00
278,Export to CSV,Need option to export reports as CSV.,Feature Request,High,2025-03-04 15:34:00
279,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-09-06 08:51:00
280,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-06-24 15:32:00
281,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,High,2025-07-30 07:23:00
282,Email not sending,Support emails are not being sent.,Technical Issue,Medium,2025-04-18 01:16:00
283,Mobile widget,Would like a quick widget for mobile app.,Feature Request,High,2025-07-24 13:09:00
284,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,Low,2025-03-30 09:41:00
285,Duplicate charge,Charged twice for same subscription.,Billing Inquiry,High,2025-04-04 03:18:00
286,Slow performance,The app is running very slowly.,Technical Issue,Low,2025-08-06 10:54:00
287,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,Low,2025-03-24 23:49:00
288,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Medium,2025-09-08 16:41:00
289,App freezes,The app freezes after last update.,Bug Report,Medium,2025-04-27 10:06:00
290,Account locked,Account locked after multiple attempts.,Account Management,High,2025-07-02 08:41:00
291,App crashes on login,The app crashes when I try to log in.,Bug Report,Low,2025-01-06 07:57:00
292,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-06-08 22:29:00
293,Crash on checkout,App crashes during checkout process.,Bug Report,Medium,2025-06-12 19:37:00
294,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-04-21 21:26:00
295,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Medium,2025-02-01 07:51:00
296,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,High,2025-04-19 17:03:00
297,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-08-15 05:51:00
298,App freezes,The app freezes after last update.,Bug Report,High,2025-05-24 13:25:00
299,Add dark mode,Requesting a dark theme option.,Feature Request,Medium,2025-02-20 00:11:00
300,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,High,2025-04-26 20:06:00
301,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-09-01 12:15:00
302,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-02-28 01:38:00
303,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Medium,2025-05-05 09:51:00
304,Email not sending,Support emails are not being sent.,Technical Issue,Low,2025-08-21 07:53:00
305,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,High,2025-08-19 03:36:00
306,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Medium,2025-03-03 18:09:00
307,Unable to reset password,Reset link not working.,Account Management,High,2025-01-09 20:34:00
308,Slow performance,The app is running very slowly.,Technical Issue,Low,2025-05-25 02:30:00
309,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Low,2025-02-09 02:10:00
310,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-01-16 15:43:00
311,Email not sending,Support emails are not being sent.,Technical Issue,High,2025-01-29 20:12:00
312,Slow performance,The app is running very slowly.,Technical Issue,Medium,2025-06-11 08:13:00
313,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Medium,2025-01-03 09:39:00
314,Email not sending,Support emails are not being sent.,Technical Issue,Medium,2025-08-16 11:59:00
315,2FA issue,Two-factor authentication code not accepted.,Account Management,High,2025-07-30 00:09:00
316,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Medium,2025-07-13 03:33:00
317,Email not sending,Support emails are not being sent.,Technical Issue,High,2025-03-31 08:38:00
318,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-08-19 22:30:00
319,Crash on checkout,App crashes during checkout process.,Bug Report,High,2025-03-19 23:25:00
320,Multi-language support,Please support Spanish and French.,Feature Request,Medium,2025-02-11 03:30:00
321,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Medium,2025-05-08 15:05:00
322,Integration error,Error when integrating with third-party tool.,Technical Issue,Low,2025-05-10 10:27:00
323,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Low,2025-06-27 18:00:00
324,Integration error,Error when integrating with third-party tool.,Technical Issue,Low,2025-05-09 10:17:00
325,Email not sending,Support emails are not being sent.,Technical Issue,Low,2025-03-29 11:27:00
326,Multi-language support,Please support Spanish and French.,Feature Request,Medium,2025-09-07 19:49:00
327,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Medium,2025-09-20 23:35:00
328,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-07-12 15:21:00
329,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-08-05 21:35:00
330,Mobile widget,Would like a quick widget for mobile app.,Feature Request,High,2025-06-03 12:37:00
331,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-06-24 13:36:00
332,Multi-language support,Please support Spanish and French.,Feature Request,High,2025-08-15 19:44:00
333,Export to CSV,Need option to export reports as CSV.,Feature Request,High,2025-01-05 01:56:00
334,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-07-01 02:17:00
335,Email not sending,Support emails are not being sent.,Technical Issue,High,2025-09-12 07:51:00
336,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Low,2025-05-08 20:21:00
337,2FA issue,Two-factor authentication code not accepted.,Account Management,High,2025-06-12 18:50:00
338,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-01-10 02:45:00
339,Crash on checkout,App crashes during checkout process.,Bug Report,Medium,2025-07-09 23:26:00
340,App freezes,The app freezes after last update.,Bug Report,High,2025-09-26 11:38:00
341,Duplicate charge,Charged twice for same subscription.,Billing Inquiry,High,2025-03-12 06:47:00
342,Email not sending,Support emails are not being sent.,Technical Issue,Low,2025-03-06 05:45:00
343,Account locked,Account locked after multiple attempts.,Account Management,Low,2025-02-14 01:17:00
344,Crash on checkout,App crashes during checkout process.,Bug Report,Low,2025-05-02 09:41:00
345,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Medium,2025-02-02 11:47:00
346,Slow performance,The app is running very slowly.,Technical Issue,Medium,2025-06-05 12:16:00
347,Multi-language support,Please support Spanish and French.,Feature Request,Medium,2025-08-13 18:33:00
348,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,High,2025-07-29 21:55:00
349,App freezes,The app freezes after last update.,Bug Report,High,2025-04-10 07:10:00
350,Slow performance,The app is running very slowly.,Technical Issue,Low,2025-05-01 03:21:00
351,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-02-25 17:27:00
352,Email not sending,Support emails are not being sent.,Technical Issue,High,2025-06-03 19:39:00
353,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-04-08 20:52:00
354,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,High,2025-02-10 23:35:00
355,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,High,2025-01-12 15:00:00
356,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Medium,2025-02-07 18:46:00
357,App freezes,The app freezes after last update.,Bug Report,Medium,2025-01-08 16:31:00
358,Multi-language support,Please support Spanish and French.,Feature Request,High,2025-05-04 03:07:00
359,2FA issue,Two-factor authentication code not accepted.,Account Management,High,2025-06-15 05:32:00
360,App freezes,The app freezes after last update.,Bug Report,Low,2025-02-09 12:46:00
361,2FA issue,Two-factor authentication code not accepted.,Account Management,Low,2025-06-15 01:46:00
362,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-07-30 23:48:00
363,Unable to reset password,Reset link not working.,Account Management,Low,2025-05-07 09:12:00
364,Slow performance,The app is running very slowly.,Technical Issue,High,2025-08-26 21:35:00
365,2FA issue,Two-factor authentication code not accepted.,Account Management,High,2025-05-10 14:16:00
366,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Low,2025-05-29 23:28:00
367,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Low,2025-09-13 14:36:00
368,App freezes,The app freezes after last update.,Bug Report,High,2025-01-29 23:18:00
369,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Low,2025-09-19 17:28:00
370,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-04-18 19:03:00
371,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Medium,2025-06-22 06:58:00
372,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-03-30 13:19:00
373,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,Medium,2025-09-17 18:57:00
374,Unable to reset password,Reset link not working.,Account Management,Low,2025-08-11 18:49:00
375,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,High,2025-08-30 02:09:00
376,Cannot update profile,Error while saving profile changes.,Account Management,Low,2025-05-15 14:54:00
377,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,Low,2025-07-20 07:26:00
378,Export to CSV,Need option to export reports as CSV.,Feature Request,Low,2025-03-05 11:46:00
379,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-09-28 14:36:00
380,App crashes on login,The app crashes when I try to log in.,Bug Report,Low,2025-01-06 03:39:00
381,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-07-16 21:15:00
382,Multi-language support,Please support Spanish and French.,Feature Request,Medium,2025-04-09 01:32:00
383,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-07-09 05:17:00
384,Cannot update profile,Error while saving profile changes.,Account Management,Medium,2025-03-26 18:59:00
385,Mobile widget,Would like a quick widget for mobile app.,Feature Request,High,2025-04-15 11:44:00
386,Crash on checkout,App crashes during checkout process.,Bug Report,High,2025-08-07 09:15:00
387,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Low,2025-05-03 08:23:00
388,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Medium,2025-06-02 15:50:00
389,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-06-27 02:31:00
390,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,Medium,2025-07-24 06:36:00
391,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-06-15 16:30:00
392,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,High,2025-07-12 01:13:00
393,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-07-14 02:22:00
394,Unable to reset password,Reset link not working.,Account Management,Low,2025-05-19 17:10:00
395,Mobile widget,Would like a quick widget for mobile app.,Feature Request,High,2025-01-12 01:19:00
396,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Medium,2025-07-04 14:00:00
397,App freezes,The app freezes after last update.,Bug Report,High,2025-09-13 09:13:00
398,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,High,2025-07-25 20:34:00
399,App crashes on login,The app crashes when I try to log in.,Bug Report,Low,2025-06-29 05:47:00
400,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,High,2025-03-13 00:17:00
401,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Medium,2025-03-15 07:14:00
402,Duplicate charge,Charged twice for same subscription.,Billing Inquiry,High,2025-05-11 06:02:00
403,Unable to reset password,Reset link not working.,Account Management,High,2025-09-08 05:56:00
404,Cannot update profile,Error while saving profile changes.,Account Management,Low,2025-06-13 18:19:00
405,Export to CSV,Need option to export reports as CSV.,Feature Request,Low,2025-07-01 15:37:00
406,Cannot update profile,Error while saving profile changes.,Account Management,Low,2025-08-16 06:44:00
407,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-06-13 18:24:00
408,Cannot update profile,Error while saving profile changes.,Account Management,Low,2025-05-05 05:00:00
409,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,High,2025-01-05 02:12:00
410,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-09-15 20:04:00
411,Export to CSV,Need option to export reports as CSV.,Feature Request,High,2025-07-18 17:26:00
412,App freezes,The app freezes after last update.,Bug Report,Low,2025-03-18 08:11:00
413,Duplicate charge,Charged twice for same subscription.,Billing Inquiry,Low,2025-01-21 05:54:00
414,2FA issue,Two-factor authentication code not accepted.,Account Management,Medium,2025-02-02 20:49:00
415,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-07-22 23:23:00
416,2FA issue,Two-factor authentication code not accepted.,Account Management,High,2025-05-06 03:19:00
417,Crash on checkout,App crashes during checkout process.,Bug Report,Medium,2025-03-07 06:29:00
418,App crashes on login,The app crashes when I try to log in.,Bug Report,Medium,2025-04-14 19:25:00
419,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-01-09 11:54:00
420,Export to CSV,Need option to export reports as CSV.,Feature Request,High,2025-07-11 19:44:00
421,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Low,2025-04-17 07:41:00
422,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-09-12 16:23:00
423,Email not sending,Support emails are not being sent.,Technical Issue,Medium,2025-08-01 22:12:00
424,Multi-language support,Please support Spanish and French.,Feature Request,Medium,2025-01-01 09:42:00
425,Mobile widget,Would like a quick widget for mobile app.,Feature Request,High,2025-06-29 21:27:00
426,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Low,2025-03-16 18:08:00
427,App crashes on login,The app crashes when I try to log in.,Bug Report,High,2025-01-22 18:07:00
428,Cannot update profile,Error while saving profile changes.,Account Management,Low,2025-08-04 10:22:00
429,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Medium,2025-02-27 17:00:00
430,Export to CSV,Need option to export reports as CSV.,Feature Request,Medium,2025-04-01 10:11:00
431,2FA issue,Two-factor authentication code not accepted.,Account Management,Low,2025-02-08 06:53:00
432,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,High,2025-03-09 16:42:00
433,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Low,2025-04-03 17:56:00
434,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,High,2025-06-03 11:30:00
435,Slow performance,The app is running very slowly.,Technical Issue,Medium,2025-02-10 17:11:00
436,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-08-09 13:28:00
437,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-05-31 04:30:00
438,Account locked,Account locked after multiple attempts.,Account Management,Medium,2025-09-22 09:41:00
439,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,Medium,2025-03-13 12:53:00
440,Slow performance,The app is running very slowly.,Technical Issue,Medium,2025-02-24 07:16:00
441,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Low,2025-02-05 16:54:00
442,Cannot update profile,Error while saving profile changes.,Account Management,High,2025-01-24 03:46:00
443,App freezes,The app freezes after last update.,Bug Report,Low,2025-07-11 09:35:00
444,Email not sending,Support emails are not being sent.,Technical Issue,Low,2025-08-01 10:35:00
445,Add dark mode,Requesting a dark theme option.,Feature Request,High,2025-08-03 02:25:00
446,Multi-language support,Please support Spanish and French.,Feature Request,Medium,2025-05-13 13:49:00
447,Duplicate charge,Charged twice for same subscription.,Billing Inquiry,Medium,2025-02-07 13:56:00
448,Slow performance,The app is running very slowly.,Technical Issue,Medium,2025-08-24 08:02:00
449,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,Medium,2025-05-06 01:39:00
450,Unable to reset password,Reset link not working.,Account Management,High,2025-04-22 21:42:00
451,Integration error,Error when integrating with third-party tool.,Technical Issue,Low,2025-09-01 05:50:00
452,Multi-language support,Please support Spanish and French.,Feature Request,Medium,2025-09-15 01:25:00
453,Export to CSV,Need option to export reports as CSV.,Feature Request,Medium,2025-09-27 20:36:00
454,Slow performance,The app is running very slowly.,Technical Issue,Medium,2025-03-17 01:36:00
455,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-06-10 03:43:00
456,Export to CSV,Need option to export reports as CSV.,Feature Request,Low,2025-03-09 07:46:00
457,Crash on checkout,App crashes during checkout process.,Bug Report,Medium,2025-04-09 00:58:00
458,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,Medium,2025-04-30 21:38:00
459,Account locked,Account locked after multiple attempts.,Account Management,Medium,2025-05-21 03:06:00
460,Email not sending,Support emails are not being sent.,Technical Issue,Medium,2025-08-31 15:58:00
461,Account locked,Account locked after multiple attempts.,Account Management,Medium,2025-05-23 03:10:00
462,Multi-language support,Please support Spanish and French.,Feature Request,High,2025-09-04 07:42:00
463,Export to CSV,Need option to export reports as CSV.,Feature Request,Low,2025-02-26 10:05:00
464,App freezes,The app freezes after last update.,Bug Report,Medium,2025-06-02 10:28:00
465,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,High,2025-06-09 18:20:00
466,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Low,2025-05-20 00:11:00
467,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Low,2025-05-12 04:07:00
468,Cannot update profile,Error while saving profile changes.,Account Management,Medium,2025-08-20 14:42:00
469,2FA issue,Two-factor authentication code not accepted.,Account Management,Low,2025-01-30 22:21:00
470,Slow performance,The app is running very slowly.,Technical Issue,Medium,2025-05-28 15:31:00
471,Integration error,Error when integrating with third-party tool.,Technical Issue,Medium,2025-08-14 23:34:00
472,App crashes on login,The app crashes when I try to log in.,Bug Report,Low,2025-06-07 19:46:00
473,Export to CSV,Need option to export reports as CSV.,Feature Request,Low,2025-05-12 17:08:00
474,Duplicate charge,Charged twice for same subscription.,Billing Inquiry,Medium,2025-04-08 20:03:00
475,Error 500 on dashboard,Dashboard throws internal server error.,Bug Report,High,2025-08-03 03:34:00
476,Mobile widget,Would like a quick widget for mobile app.,Feature Request,High,2025-01-26 14:13:00
477,Wrong invoice amount,Invoice shows incorrect total.,Billing Inquiry,Medium,2025-06-25 00:27:00
478,Account locked,Account locked after multiple attempts.,Account Management,High,2025-04-21 04:31:00
479,Email not sending,Support emails are not being sent.,Technical Issue,Medium,2025-09-03 19:44:00
480,Duplicate charge,Charged twice for same subscription.,Billing Inquiry,High,2025-05-30 09:06:00
481,Crash on checkout,App crashes during checkout process.,Bug Report,High,2025-07-14 04:33:00
482,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,High,2025-09-05 00:44:00
483,Email not sending,Support emails are not being sent.,Technical Issue,High,2025-02-24 15:32:00
484,Account locked,Account locked after multiple attempts.,Account Management,Medium,2025-01-18 14:38:00
485,Crash on checkout,App crashes during checkout process.,Bug Report,High,2025-02-14 23:25:00
486,Integration error,Error when integrating with third-party tool.,Technical Issue,Low,2025-02-04 13:44:00
487,Unable to reset password,Reset link not working.,Account Management,High,2025-06-20 10:49:00
488,Integration error,Error when integrating with third-party tool.,Technical Issue,High,2025-04-18 02:00:00
489,Mobile widget,Would like a quick widget for mobile app.,Feature Request,Low,2025-06-08 23:37:00
490,Multi-language support,Please support Spanish and French.,Feature Request,Low,2025-03-25 18:50:00
491,Refund request,Requesting a refund for wrong billing.,Billing Inquiry,Medium,2025-06-22 05:01:00
492,Slow performance,The app is running very slowly.,Technical Issue,High,2025-02-03 03:09:00
493,Export to CSV,Need option to export reports as CSV.,Feature Request,High,2025-08-18 14:16:00
494,Add dark mode,Requesting a dark theme option.,Feature Request,Low,2025-09-17 18:26:00
495,VPN blocking service,VPN blocks the app; need help configuring.,Technical Issue,High,2025-02-28 12:50:00
496,Export to CSV,Need option to export reports as CSV.,Feature Request,Medium,2025-03-08 18:23:00
497,Payment not processed,Card charged but subscription inactive.,Billing Inquiry,High,2025-04-13 03:28:00
498,App crashes on login,The app crashes when I try to log in.,Bug Report,Low,2025-09-24 04:11:00
499,Account locked,Account locked after multiple attempts.,Account Management,Low,2025-07-13 16:35:00
500,Crash on checkout,App crashes during checkout process.,Bug Report,Low,2025-01-08 02:22:00
